Date,Description,Amount,Category
2025-01-01,Blinkit Grocer-36007,29,Food
2025-01-01,Blinkit Grocer-91090,124,Food
2025-01-01,SWIGGYPAY-23330,52,Food
2025-01-01,Cafe Receipt-11853,216,Food
2025-01-01,UPI-ZOMATO-34416,57,Food
2025-01-01,Salary Credit,72002,Income
2025-01-01,Metro Card-22404,95,Transport
2025-01-01,Ola Cab-5537,88,Transport
2025-01-01,Ola Cab-11967,91,Transport
2025-01-01,Metro Card-1563,84,Transport
2025-01-01,Mobile Bill-50968,336,Utilities
2025-01-02,SWIGGYPAY-7415,140,Food
2025-01-02,Blinkit Grocer-86853,59,Food
2025-01-02,UPI-ZOMATO-23944,123,Food
2025-01-02,Blinkit Grocer-3325,156,Food
2025-01-02,UPI-ZOMATO-16833,102,Food
2025-01-02,Clinic Visit-53616,84,Health
2025-01-02,Uber Ride-99013,93,Transport
2025-01-02,Uber Ride-84445,154,Transport
2025-01-02,Metro Card-53633,125,Transport
2025-01-02,Fuel Station-89535,46,Transport
2025-01-03,UPI-ZOMATO-20951,136,Food
2025-01-03,UPI-ZOMATO-97797,36,Food
2025-01-03,UPI-ZOMATO-99119,211,Food
2025-01-03,UPI-ZOMATO-92742,49,Food
2025-01-03,NEFT-HDFC-RENT,18000,Rent
2025-01-03,Fuel Station-15648,71,Transport
2025-01-04,Blinkit Grocer-47256,95,Food
2025-01-04,UPI-ZOMATO-67619,93,Food
2025-01-04,Cafe Receipt-84562,100,Food
2025-01-04,Cafe Receipt-60211,142,Food
2025-01-04,UPI-ZOMATO-28839,38,Food
2025-01-04,Blinkit Grocer-77251,46,Food
2025-01-04,Myntra Store-62833,138,Shopping
2025-01-04,AMAZONINDIA-PAY-35313,592,Shopping
2025-01-04,Ola Cab-18304,36,Transport
2025-01-04,Ola Cab-69902,109,Transport
2025-01-05,Spotify Subscription-73977,128,Entertainment
2025-01-05,Blinkit Grocer-47959,76,Food
2025-01-05,UPI-ZOMATO-57217,68,Food
2025-01-05,Cafe Receipt-30786,273,Food
2025-01-05,Cafe Receipt-20011,133,Food
2025-01-05,Cafe Receipt-84573,201,Food
2025-01-05,SWIGGYPAY-14809,121,Food
2025-01-05,Cafe Receipt-25779,245,Food
2025-01-05,Cafe Receipt-40268,233,Food
2025-01-05,Blinkit Grocer-12235,161,Food
2025-01-05,UPI-ZOMATO-78577,96,Food
2025-01-05,Uber Ride-35153,29,Transport
2025-01-06,Movie Tickets-83235,153,Entertainment
2025-01-06,Netflix Renewal-63345,154,Entertainment
2025-01-06,SWIGGYPAY-66587,154,Food
2025-01-06,UPI-ZOMATO-26747,161,Food
2025-01-06,Cafe Receipt-18472,148,Food
2025-01-06,UPI-ZOMATO-87651,130,Food
2025-01-06,Cafe Receipt-41962,53,Food
2025-01-06,Blinkit Grocer-9701,83,Food
2025-01-06,Blinkit Grocer-25942,47,Food
2025-01-06,SWIGGYPAY-79948,147,Food
2025-01-06,Fuel Station-82926,59,Transport
2025-01-06,Ola Cab-35226,75,Transport
2025-01-06,Metro Card-60610,76,Transport
2025-01-06,Mobile Bill-68365,126,Utilities
2025-01-07,Blinkit Grocer-91567,31,Food
2025-01-07,Blinkit Grocer-35574,98,Food
2025-01-07,SWIGGYPAY-13143,82,Food
2025-01-07,SWIGGYPAY-86478,127,Food
2025-01-07,Cafe Receipt-58393,217,Food
2025-01-07,UPI-ZOMATO-70199,160,Food
2025-01-07,Cafe Receipt-17963,106,Food
2025-01-07,UPI-ZOMATO-50954,171,Food
2025-01-07,Pharmacy Purchase-83087,275,Health
2025-01-07,Uber Ride-97411,74,Transport
2025-01-07,Uber Ride-90696,112,Transport
2025-01-07,Ola Cab-21174,67,Transport
2025-01-07,Broadband Bill,899,Utilities
2025-01-08,Blinkit Grocer-79225,34,Food
2025-01-08,Blinkit Grocer-81143,135,Food
2025-01-08,Cafe Receipt-77818,220,Food
2025-01-08,Metro Card-68203,69,Transport
2025-01-08,Metro Card-68851,157,Transport
2025-01-09,Cafe Receipt-25582,144,Food
2025-01-09,Blinkit Grocer-65900,70,Food
2025-01-09,Cafe Receipt-35145,200,Food
2025-01-09,Cafe Receipt-79248,180,Food
2025-01-09,UPI-ZOMATO-86332,203,Food
2025-01-09,Cafe Receipt-20454,119,Food
2025-01-09,Cafe Receipt-90428,124,Food
2025-01-09,Cafe Receipt-44133,47,Food
2025-01-09,SWIGGYPAY-13766,106,Food
2025-01-09,Fitness Renewal-99701,295,Health
2025-01-09,Clinic Visit-74588,576,Health
2025-01-09,Metro Card-19222,63,Transport
2025-01-09,Metro Card-49468,136,Transport
2025-01-09,Metro Card-87761,164,Transport
2025-01-09,Ola Cab-74177,80,Transport
2025-01-10,SWIGGYPAY-63986,54,Food
2025-01-10,Blinkit Grocer-98324,208,Food
2025-01-10,Blinkit Grocer-62998,148,Food
2025-01-10,UPI-ZOMATO-68364,175,Food
2025-01-10,UPI-ZOMATO-42059,99,Food
2025-01-10,Blinkit Grocer-42488,172,Food
2025-01-10,Ola Cab-77447,126,Transport
2025-01-10,Ola Cab-29848,30,Transport
2025-01-10,Ola Cab-31177,166,Transport
2025-01-10,Uber Ride-90331,122,Transport
2025-01-11,Blinkit Grocer-6642,242,Food
2025-01-11,Blinkit Grocer-40295,260,Food
2025-01-11,UPI-ZOMATO-39702,82,Food
2025-01-11,Blinkit Grocer-61570,173,Food
2025-01-11,Cafe Receipt-84282,193,Food
2025-01-11,Pharmacy Purchase-98481,642,Health
2025-01-11,Flight Fare-38163,1778,Travel
2025-01-12,Netflix Renewal,649,Entertainment
2025-01-12,Spotify Subscription-39355,274,Entertainment
2025-01-12,Movie Tickets-63208,247,Entertainment
2025-01-12,Cafe Receipt-17311,75,Food
2025-01-12,UPI-ZOMATO-52631,228,Food
2025-01-12,SWIGGYPAY-23268,133,Food
2025-01-12,SWIGGYPAY-58911,188,Food
2025-01-12,AMAZONINDIA-PAY-72120,252,Shopping
2025-01-12,AMAZONINDIA-PAY-16916,406,Shopping
2025-01-12,Uber Ride-84399,108,Transport
2025-01-12,Fuel Station-97261,177,Transport
2025-01-12,Fuel Station-98187,114,Transport
2025-01-12,Ola Cab-76196,125,Transport
2025-01-13,Movie Tickets-39682,296,Entertainment
2025-01-13,Netflix Renewal-52186,267,Entertainment
2025-01-13,UPI-ZOMATO-94047,208,Food
2025-01-13,UPI-ZOMATO-78375,45,Food
2025-01-13,UPI-ZOMATO-59666,187,Food
2025-01-13,UPI-ZOMATO-54769,215,Food
2025-01-13,Fuel Station-10628,94,Transport
2025-01-13,Metro Card-34337,62,Transport
2025-01-13,Ola Cab-89144,46,Transport
2025-01-14,Movie Tickets-46153,140,Entertainment
2025-01-14,Cafe Receipt-15173,164,Food
2025-01-14,SWIGGYPAY-35541,130,Food
2025-01-14,UPI-ZOMATO-34368,85,Food
2025-01-14,Pharmacy Purchase-52448,326,Health
2025-01-15,Cafe Receipt-94831,211,Food
2025-01-15,Cafe Receipt-47267,182,Food
2025-01-15,SWIGGYPAY-44018,191,Food
2025-01-15,UPI-ZOMATO-83512,184,Food
2025-01-15,Cafe Receipt-18904,183,Food
2025-01-15,UPI-ZOMATO-69661,161,Food
2025-01-15,Pharmacy Purchase-22593,383,Health
2025-01-15,Flipkart Order-56742,325,Shopping
2025-01-15,Fuel Station-80300,122,Transport
2025-01-15,Fuel Station-53327,37,Transport
2025-01-16,Spotify Subscription-92523,285,Entertainment
2025-01-16,Spotify Subscription-27121,252,Entertainment
2025-01-16,UPI-ZOMATO-54572,170,Food
2025-01-16,UPI-ZOMATO-14690,133,Food
